Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Albania,ALB,..,..,..,0.08737,0.15412,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Algeria,DZA,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Andorra,ADO,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Angola,AGO,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Argentina,ARG,..,0.43884,0.40033,0.40169,0.42135,0.48292,0.49191,0.51544,0.57942,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Armenia,ARM,..,0.18463,0.24057,0.21107,0.22438,0.29093,0.24139,0.27014,0.25438,0.23686,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Australia,AUS,..,1.57648,2.18215,..,2.40144,..,2.38592,2.24915,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Austria,AUT,..,1.88965,2.37115,2.4324,2.58557,2.61357,2.74175,2.68125,2.80978,2.81289,2.8345,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Azerbaijan,AZE,..,0.336,0.17165,0.17006,0.16554,0.24976,0.21848,0.21084,0.21724,0.21141,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,"Bahamas, The",BHS,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Bahrain,BHR,..,..,..,..,..,0.03849,0.03858,0.03764,0.04099,0.04196,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Bangladesh,BGD,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Barbados,BRB,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Belarus,BLR,..,0.7221,0.66065,0.96203,0.74147,0.64269,0.6935,0.7006,0.66705,0.67358,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Belgium,BEL,..,1.92696,1.81035,1.84222,1.91871,1.97433,2.04719,2.15075,2.24321,2.2808,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Belize,BLZ,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Benin,BEN,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Bermuda,BMU,..,..,..,0.20526,0.2095,0.22217,0.22283,0.26122,0.23115,0.22606,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Bhutan,BTN,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Bolivia,BOL,..,0.28744,..,..,..,0.157,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Bosnia and Herzegovina,BIH,..,..,0.02018,0.02576,0.01881,0.02148,..,..,0.27037,0.32721,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Botswana,BWA,..,..,..,..,..,..,..,..,0.25229,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Brazil,BRA,..,0.99886,0.98792,1.08227,1.12986,1.12029,1.15963,1.14008,1.15115,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Brunei Darussalam,BRN,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Bulgaria,BGR,..,0.49116,0.45176,0.43787,0.45709,0.51169,0.58636,0.54768,0.61988,0.64982,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Burkina Faso,BFA,..,..,..,0.11062,0.18634,0.20005,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Burundi,BDI,..,..,..,0.2007,0.15419,0.14434,0.13755,0.12126,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Cabo Verde,CPV,..,..,..,..,..,..,..,0.07264,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Cambodia,KHM,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Cameroon,CMR,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Canada,CAN,..,1.87185,1.95566,1.91787,1.86826,1.92265,1.83755,1.7788,1.70956,1.62365,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Central African Republic,CAF,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Chad,TCD,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Chile,CHL,..,..,..,0.3105,0.37499,0.35291,0.33099,0.35343,0.36479,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,China,CHN,..,0.89767,1.37974,1.38432,1.4573,1.67871,1.7272,1.79438,1.9281,2.01466,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Colombia,COL,..,0.10603,0.17265,0.19853,0.21177,0.20887,0.20971,0.21694,0.21574,0.22641,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Comoros,COM,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,"Congo, Dem. Rep.",ZAR,..,..,0.0611,0.1392,0.08503,0.07987,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,"Congo, Rep.",COG,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Costa Rica,CRI,..,0.38728,0.43047,0.36417,0.3984,0.54117,0.48261,0.47403,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Cote d'Ivoire,CIV,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Croatia,HRV,..,1.0441,0.74009,0.79225,0.88413,0.84425,0.74469,0.75237,0.75113,0.81421,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Cuba,CUB,..,0.47865,0.44139,0.43615,0.50061,0.61487,0.60767,0.27192,0.40717,0.47466,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Cyprus,CYP,..,0.22818,0.38741,0.40431,0.39089,0.45046,0.45218,0.45612,0.42925,0.47519,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Czech Republic,CZE,..,1.11636,1.23372,1.3051,1.24203,1.29722,1.33986,1.56009,1.7877,1.90525,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Denmark,DNK,..,..,2.40236,2.51481,2.77951,3.06927,2.93698,2.96625,3.02286,3.05629,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Djibouti,DJI,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Dominica,DMA,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Dominican Republic,DOM,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Ecuador,ECU,..,..,0.12863,0.13194,0.22779,0.39463,0.40297,0.33991,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,"Egypt, Arab Rep.",EGY,..,0.19247,0.25903,0.2551,0.27024,0.43312,0.43345,0.53154,0.54103,0.67798,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,El Salvador,SLV,..,..,..,0.08935,0.11245,0.07744,0.06723,0.03112,0.03051,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Equatorial Guinea,GNQ,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Eritrea,ERI,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Estonia,EST,..,0.60011,1.11696,1.06919,1.26,1.39617,1.58242,2.34365,2.15854,1.73995,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Ethiopia,ETH,..,..,..,0.17089,..,..,0.24137,..,..,0.60631,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Fiji,FJI,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Finland,FIN,..,3.24569,3.33762,3.34577,3.54708,3.74883,3.72598,3.63881,3.41948,3.30904,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,France,FRA,..,2.08399,2.04528,2.02003,2.05759,2.2091,2.17509,2.19064,2.23029,2.22811,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Gabon,GAB,..,..,..,0.41633,0.5109,0.57508,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,"Gambia, The",GMB,..,..,..,..,0.02039,0.01748,..,0.13221,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Georgia,GEO,..,0.2153,..,..,..,..,..,..,..,0.13139,0.16168,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Germany,DEU,..,2.39503,2.45917,2.44937,2.6009,2.72789,2.71513,2.79725,2.87685,2.85341,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Ghana,GHA,..,..,..,0.23157,..,..,0.37655,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Greece,GRC,..,..,0.56126,0.57621,0.66154,0.62584,0.59791,0.66962,0.68876,0.80337,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Grenada,GRD,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Guatemala,GTM,..,..,0.0493,0.06674,0.06188,0.0553,0.0435,0.04814,0.04471,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Guinea,GIN,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Guinea-Bissau,GNB,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Guyana,GUY,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Haiti,HTI,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Honduras,HND,..,0.04453,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,"Hong Kong SAR, China",HKG,..,0.46493,0.79468,0.75161,0.71996,0.77342,0.74946,0.72086,0.72733,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Hungary,HUN,..,0.79277,0.99004,0.96551,0.98848,1.14292,1.15123,1.20042,1.2739,1.40755,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Iceland,ISL,..,2.59437,2.91342,2.55724,2.53065,2.66409,..,2.49097,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,India,IND,..,0.74395,0.79722,0.7908,0.84108,0.81881,0.79718,0.82224,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Indonesia,IDN,..,0.06769,..,..,..,0.08332,..,..,..,0.08489,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,"Iran, Islamic Rep.",IRN,..,..,0.61405,..,0.7488,0.31296,0.3073,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Iraq,IRQ,..,..,..,0.04554,0.03435,0.04562,0.03684,0.03476,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Ireland,IRL,..,1.09082,1.20642,1.2361,1.39434,1.6272,1.61858,1.53301,1.57645,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Isle of Man,IMY,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Israel,ISR,..,3.95997,4.19002,4.47954,4.38661,4.15274,3.95527,4.10215,4.24693,4.21329,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Italy,ITA,..,1.00506,1.08646,1.13217,1.16311,1.22066,1.22221,1.20881,1.2694,1.25528,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Jamaica,JAM,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Japan,JPN,..,3.00169,3.4091,3.46142,3.46706,3.35734,3.25394,3.38313,3.34314,3.47409,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Jordan,JOR,..,..,..,..,0.4347,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Kazakhstan,KAZ,..,0.18104,0.24281,0.20884,0.21654,0.22924,0.15341,0.15723,0.16889,0.17483,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Kenya,KEN,..,..,..,0.35521,..,..,0.78578,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Kiribati,KIR,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,"Korea, Dem. People’s Rep.",PRK,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,"Korea, Rep.",KOR,..,2.18023,2.83066,3.00035,3.12343,3.29324,3.46594,3.74361,4.02554,4.14853,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Kosovo,KSV,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Kuwait,KWT,..,0.12543,0.08478,0.08585,0.0855,0.1122,0.1014,0.09899,0.09721,0.29869,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Kyrgyz Republic,KGZ,..,0.15637,0.23014,0.23425,0.19017,0.15997,0.15547,0.15633,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..
